Stop ID,Location Name,Completion Status,Quantity of Falcons,MAX Lines,Date Installed?
7601,Union Station/NW 5th & Glisan St,Completed,2,"Green Line,Orange Line,Bus Mall",11/20/25
7606,PSU South/SW 5th & Jackson St,Completed,2,"Green Line,Orange Line,Bus Mall",8/4/25
7608,City Hall/SW 5th & Jefferson St,Completed,2,"Green Line,Orange Line,Bus Mall",12/3/25
7618,PSU Urban Center/SW 5th & Mill St,Completed,2,"Green Line,Orange Line,Bus Mall",8/4/25
7627,SW 5th & Oak St,Completed,2,"Green Line,Orange Line,Bus Mall",12/3/25
7646,Pioneer Place/SW 5th Ave,Completed,2,"Green Line,Orange Line,Bus Mall",9/3/25
7763,Union Station/NW 6th & Hoyt St,Completed,2,"Green Line,Yellow Line,Bus Mall",12/9/25
7774,PSU Urban Center/SW 6th & Montgomery St,Completed,2,"Green Line,Yellow Line,Bus Mall",8/4/25
7777,Pioneer Courthouse/SW 6th Ave,Completed,2,"Green Line,Yellow Line,Bus Mall",8/11/25
7787,SW 6th & Pine St,Completed,2,"Green Line,Yellow Line,Bus Mall",12/2/25
8333,Library/SW 9th Ave EB,Completed,2,"Red Line,Blue Line",7/28/25
8334,Pioneer Square South,Completed,3,"Red Line,Blue Line",7/23/25
8336,Yamhill District,Not Started,2,"Red Line,Blue Line",TBD
8337,Oak/SW 1st Ave EB,Not Started,2,"Red Line,Blue Line",TBD
8339,Old Town/Chinatown EB,Not Started,2,"Red Line,Blue Line",TBD
8340,Rose Quarter TC EB,Not Started,2,"Red Line,Green Line,Blue Line",TBD
8341,Convention Center EB,Not Started,2,"Red Line,Green Line,Blue Line",TBD
8342,NE 7th Ave EB,"Not Possible,Completed",1,"Red Line,Green Line,Blue Line",5/7/25
8343,Lloyd Center/NE 11th Ave EB,Completed,2,"Red Line,Green Line,Blue Line",7/28/25
8344,Hollywood TC EB,Not Started,2,"Red Line,Green Line,Blue Line",TBD
8345,NE 60th Ave EB,Not Started,2,"Red Line,Green Line,Blue Line",TBD
8346,NE 82nd Ave EB,Not Started,2,"Red Line,Green Line,Blue Line",TBD
8347,Gateway/NE 99th Ave TC MAX Station,Completed,3,"Red Line,Green Line,Blue Line",11/20/25
8348,E 102nd Ave EB,Completed,1,Blue Line,7/16/25
8349,E 122nd Ave EB,Completed,1,Blue Line,5/29/25
8350,E 148th Ave EB,Completed,1,Blue Line,7/17/25
8351,E 162nd Ave EB,Completed,1,Blue Line,6/9/25
8352,E 172nd Ave EB,Not Started,1,Blue Line,TBD
8353,E 181st Ave EB,Not Started,1,Blue Line,TBD
8354,Rockwood/E 188th Ave EB,Not Started,1,Blue Line,TBD
8355,Ruby Junction/E 197th Ave EB,Not Started,1,Blue Line,TBD
